subj,body1,body2,body3,body4,body5,body6,body7,body8,body9,body10,body11,body12,body13,body14,body15,body16,body17,body18,body19,body20,body21,body22,body23,body24,body25,body26,body27,body28,body29,body30,body31,body32,body33,body34,body35,body36,body37,body38,body39,body40,body41,body42,body43,body44,body45,body46,body47,body48,body49,body50,body51,body52,body53,body54,body55,body56,body57,body58,body59,body60,body61,body62,body63
5000,Left,Left,Left,Left,Left,Left,Left,Left,Right,Left,Left,Right,Left,Right,Left,Left,Left,Left,Right,Left,Left,Right,Left,Right,Left,Left,Right,Left,Right,Left,Right,Left,Right,Left,Left,Right,Left,Right,Right,Left,Right,Left,Right,Right,Left,Right,Left,Right,Left,Right,Right,Left,Right,Left,Right,Right,Left,Right,Left,Left,Right,Left,Right
5001,Left,Right,Left,Right,Left,Left,Right,Left,Right,Left,Left,Right,Left,Right,Left,Right,Left,Left,Right,Left,Right,Left,Left,Right,Left,Right,Left,Left,Right,Left,Right,Left,Right,Left,Left,Right,Left,Right,Right,Left,Right,Left,Left,Right,Left,Right,Left,Right,Left,Right,Right,Left,Right,Left,Left,Right,Left,Right,Left,Left,Right,Left,Right
5002,Right,Left,Left,Left,Left,Right,Right,Left,Right,Right,Left,Right,Left,Right,Left,Right,Left,Left,Right,Left,Right,Left,Right,Right,Left,Right,Left,Left,Right,Left,Right,Left,Right,Left,Right,Right,Left,Right,Left,Left,Right,Left,Right,Right,Left,Right,Left,Right,Left,Right,Right,Left,Right,Left,Right,Right,Left,Right,Left,Left,Right,Left,Right
5003,Left,Right,Left,Right,Right,Left,Right,Left,Left ,Right,Left,Right,Left,Left,Right,Left,Right,Left,Right,Left,Right,Left,Left,Left,Right,Right,Left,Left,Right,Left,Right,Left,Right,Left,Left,Right,Left,Right,Right,Left,Right,Left,Right,Right,Left,Right,Left,Right,Left,Right,Right,Left,Right,Left,Left,Right,Left,Right,Left,Left,Right,Left,Right
5004,Right,Right,Left,Right,Left,Left,Right,Left,Left ,Right,Left,Right,Left,Left,Right,Left,Right,Left,Right,Left,Left,Right,Left,Right,Left,Left,Right,Left,Right,Left,Left,Left,Right,Right,Left,Right,Left,Left,Right,Left,Right,Left,Left,Right,Left,Right,Right,Left,Right,Left,Right,Right,Left,Right,Left,Left,Right,Left,Right,Right,Left,Right,Left
5005,Right,Left,Left,Left,Left,Left,Right,Left,Right,Right,Left,Right,Left,Right,Right,Left,Left,Left,Right,Left,Right,Right,Left,Right,Left,Right,Right,Left,Right,Left,Right,Left,Right,Left,Left,Right,Left,Right,Right,Left,Right,Left,Left,Right,Left,Right,Left,Right,Left,Right,Left,Left,Right,Left,Right,Right,Left,Right,Left,Left,Right,Left,Right
5006,Left,Left,Left,Right,Right,Left,Right,Left,Right,Left,Right,Right,Left,Right,Left,Right,Right,Left,Right,Left,Right,Left,Left,Right,Left,Right,Left,Left,Right,Left,Right,Left,Right,Left,Left,Right,Left,Right,Left,Left,Right,Left,Right,Right,Left,Right,Left,Right,Left,Right,Left,Left,Right,Left,Right,Right,Left,Right,Left,Left,Right,Left,Right
5007,Left,Right,Left,Right,Left,Left,Right,Left,Right,Right,Left,Right,Right,Right,Right,Left,Right,Left,Right,Left,Left,Right,Left,Left,Right,Left,Right,Left,Right,Right,Left,Right,Left,Right,Left,Left,Right,Left,Right,Right,Left,Right,Left,Left,Right,Left,Right,Left,Right,Left,Right,Left,Left,Right,Left,Left,Right,Left,Right,Left,Right,Right,Left
5008,Left,Left,Left,Right,Left,Right,Right,Left,Right,Left,Left,Left,Left,Right,Left,Left,Left,Left,Right,Left,Left,Left,Left,Right,Left,Left,Left,Left,Right,Left,Right,Left,Right,Left,Left,Right,Left,Right,Left,Left,Right,Left,Right,Left,Right,Right,Left,Right,Left,Left,Right,Left,Right,Left,Left,Right,Left,Left,Right,Right,Left,Left,Left
5009,Left,Right,Left,Left,Left,Left,Right,Left,Right,Left,Right,Left,Right,Left,Right,Right,Left,Left,Right,Left,Left,Left,Left,Right,Right,Right,Right,Right,Left,Right,Left,Left,Right,Right,Right,Right,Left,Left,Right,Right,Left,Right,Left,Left,Right,Left,Right,Right,Left,Left,Right,Right,Left,Right,Left,Left,Right,Left,Right,Right,Left,Right,Left
5010,Left,Right,Left,Right,Left,Left,Right,Left,Right,Right,Left,Left,Right,Left,Right,Left,Right,Left,Right,Left,Left,Right,Left,Right,Right,Right,Right,Left,Right,Left,Right,Left,Right,Right,Left,Right,Left,Right,Right,Left,Right,Left,Left,Right,Left,Right,Left,Right,Left,Left,Right,Left,Right,Right,Left,Right,Left,Right,Left,Left,Left,Left,Right
5011,Left,Right,Left,Left,Left,Left,Right,Left,Right,Right,Left,Right,Left,Left,Left,Left,Left,Left,Right,Left,Left,Right,Left,Right,Left,Right,Left,Left,Right,Left,Left,Left,Right,Left,Left,Right,Left,Left,Right,Left,Right,Left,Left,Left,Right,Right,Right,Right,Right,Right,Right,Right,Left,Right,Left,Left,Right,Left,Right,Right,Left,Right,Left
