body_num,detail,emaciation,size,test_jpg,ref_side
body1,0.0,0.25,0.0,1_BBD0_BBS0_E0.25.jpg,Left
body2,0.0,0.5,0.0,2_BBD0_BBS0_E0.5.jpg,Right
body3,0.0,0.75,0.0,3_BBD0_BBS0_E0.75.jpg,Left
body4,0.0,0.0,0.25,5_BBD0_BBS0.25_E0.jpg,Left
body5,0.0,0.25,0.25,6_BBD0_BBS0.25_E0.25.jpg,Right
body6,0.0,0.5,0.25,7_BBD0_BBS0.25_E0.5.jpg,Left
body7,0.0,0.75,0.25,8_BBD0_BBS0.25_E0.75.jpg,Right
body8,0.0,0.0,0.5,10_BBD0_BBS0.5_E0.jpg,Right
body9,0.0,0.25,0.5,11_BBD0_BBS0.5_E0.25.jpg,Left
body10,0.0,0.5,0.5,12_BBD0_BBS0.5_E0.5.jpg,Right
body11,0.0,0.75,0.5,13_BBD0_BBS0.5_E0.75.jpg,Left
body12,0.0,0.0,0.75,15_BBD0_BBS0.75_E0.jpg,Left
body13,0.0,0.25,0.75,16_BBD0_BBS0.75_E0.25.jpg,Right
body14,0.0,0.5,0.75,17_BBD0_BBS0.75_E0.5.jpg,Left
body15,0.0,0.75,0.75,18_BBD0_BBS0.75_E0.75.jpg,Right
body16,0.25,0.0,0.0,25_BBD0.25_BBS0_E0.jpg,Left
body17,0.25,0.25,0.0,26_BBD0.25_BBS0_E0.25.jpg,Right
body18,0.25,0.5,0.0,27_BBD0.25_BBS0_E0.5.jpg,Left
body19,0.25,0.75,0.0,28_BBD0.25_BBS0_E0.75.jpg,Right
body20,0.25,0.0,0.25,30_BBD0.25_BBS0.25_E0.jpg,Right
body21,0.25,0.25,0.25,31_BBD0.25_BBS0.25_E0.25.jpg,Left
body22,0.25,0.5,0.25,32_BBD0.25_BBS0.25_E0.5.jpg,Right
body23,0.25,0.75,0.25,33_BBD0.25_BBS0.25_E0.75.jpg,Left
body24,0.25,0.0,0.5,35_BBD0.25_BBS0.5_E0.jpg,Left
body25,0.25,0.25,0.5,36_BBD0.25_BBS0.5_E0.25.jpg,Right
body26,0.25,0.5,0.5,37_BBD0.25_BBS0.5_E0.5.jpg,Left
body27,0.25,0.75,0.5,38_BBD0.25_BBS0.5_E0.75.jpg,Right
body28,0.25,0.0,0.75,40_BBD0.25_BBS0.75_E0.jpg,Right
body29,0.25,0.25,0.75,41_BBD0.25_BBS0.75_E0.25.jpg,Left
body30,0.25,0.5,0.75,42_BBD0.25_BBS0.75_E0.5.jpg,Right
body31,0.25,0.75,0.75,43_BBD0.25_BBS0.75_E0.75.jpg,Left
body32,0.5,0.0,0.0,50_BBD0.5_BBS0_E0.jpg,Right
body33,0.5,0.25,0.0,51_BBD0.5_BBS0_E0.25.jpg,Left
body34,0.5,0.5,0.0,52_BBD0.5_BBS0_E0.5.jpg,Right
body35,0.5,0.75,0.0,53_BBD0.5_BBS0_E0.75.jpg,Left
body36,0.5,0.0,0.25,55_BBD0.5_BBS0.25_E0.jpg,Left
body37,0.5,0.25,0.25,56_BBD0.5_BBS0.25_E0.25.jpg,Right
body38,0.5,0.5,0.25,57_BBD0.5_BBS0.25_E0.5.jpg,Left
body39,0.5,0.75,0.25,58_BBD0.5_BBS0.25_E0.75.jpg,Right
body40,0.5,0.0,0.5,60_BBD0.5_BBS0.5_E0.jpg,Right
body41,0.5,0.25,0.5,61_BBD0.5_BBS0.5_E0.25.jpg,Left
body42,0.5,0.5,0.5,62_BBD0.5_BBS0.5_E0.5.jpg,Right
body43,0.5,0.75,0.5,63_BBD0.5_BBS0.5_E0.75.jpg,Left
body44,0.5,0.0,0.75,65_BBD0.5_BBS0.75_E0.jpg,Left
body45,0.5,0.25,0.75,66_BBD0.5_BBS0.75_E0.25.jpg,Right
body46,0.5,0.5,0.75,67_BBD0.5_BBS0.75_E0.5.jpg,Left
body47,0.5,0.75,0.75,68_BBD0.5_BBS0.75_E0.75.jpg,Right
body48,0.75,0.0,0.0,75_BBD0.75_BBS0_E0.jpg,Left
body49,0.75,0.25,0.0,76_BBD0.75_BBS0_E0.25.jpg,Right
body50,0.75,0.5,0.0,77_BBD0.75_BBS0_E0.5.jpg,Left
body51,0.75,0.75,0.0,78_BBD0.75_BBS0_E0.75.jpg,Right
body52,0.75,0.0,0.25,80_BBD0.75_BBS0.25_E0.jpg,Right
body53,0.75,0.25,0.25,81_BBD0.75_BBS0.25_E0.25.jpg,Left
body54,0.75,0.5,0.25,82_BBD0.75_BBS0.25_E0.5.jpg,Right
body55,0.75,0.75,0.25,83_BBD0.75_BBS0.25_E0.75.jpg,Left
body56,0.75,0.0,0.5,85_BBD0.75_BBS0.5_E0.jpg,Left
body57,0.75,0.25,0.5,86_BBD0.75_BBS0.5_E0.25.jpg,Right
body58,0.75,0.5,0.5,87_BBD0.75_BBS0.5_E0.5.jpg,Left
body59,0.75,0.75,0.5,88_BBD0.75_BBS0.5_E0.75.jpg,Right
body60,0.75,0.0,0.75,90_BBD0.75_BBS0.75_E0.jpg,Right
body61,0.75,0.25,0.75,91_BBD0.75_BBS0.75_E0.25.jpg,Left
body62,0.75,0.5,0.75,92_BBD0.75_BBS0.75_E0.5.jpg,Right
body63,0.75,0.75,0.75,93_BBD0.75_BBS0.75_E0.75.jpg,Left
