subj,sport,gender,orientation,age,education,race,hispanic_or_latino,Running,CrossFit,Rock climbing,Yoga/Pilates,Cycling,Weightlifting,Hiking,Swimming,Other (please specify),duration,frequency,percent women,current_frame_size,ideal_frame_size,diff,current_thinness,current_tone,current_size
2000,CrossFit,Female,5-Attracted to men exclusively,36,16,"White, Caucasian",No,Yes,Yes,No,No,Yes,Yes,No,No,,1-3 years,Three days a week,Less than 25%,5,4,-1,1,4,4
2001,CrossFit,Female,5-Attracted to men exclusively,25,16,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,Yes,No,,1-3 years,Five days a week,More than 75%,8,4,-4,1,2,3
2002,CrossFit,Female,4-Attracted to men more than women,32,13,"White, Caucasian",No,Yes,Yes,No,No,Yes,Yes,No,No,Jiu jitsu,Less than 1 year,Four days a week,About 75%,6,6,0,1,3,4
2003,CrossFit,Female,5-Attracted to men exclusively,50,16,"White, Caucasian",No,Yes,Yes,No,No,No,No,Yes,No,,Less than 1 year,Three days a week,About 50%,7,5,-2,1,2,2
2004,CrossFit,Female,4-Attracted to men more than women,42,16,"White, Caucasian",No,No,Yes,No,Yes,No,No,No,Yes,,1-3 years,Four days a week,About 75%,6,4,-2,1,3,2
2005,CrossFit,Female,5-Attracted to men exclusively,43,16,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,Yes,No,,1-3 years,Four days a week,About 75%,6,3,-3,1,3,3
2006,CrossFit,Female,5-Attracted to men exclusively,31,16,"White, Caucasian",No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,4-6 years,Three days a week,More than 75%,5,4,-1,1,2,3
2007,CrossFit,Female,5-Attracted to men exclusively,41,18,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,No,Yes,,7-9 years,Six days a week,About 75%,6,3,-3,1,4,2
2008,CrossFit,Female,5-Attracted to men exclusively,48,16,"White, Caucasian",No,No,Yes,No,Yes,No,Yes,Yes,No,,4-6 years,Six days a week,About 50%,4,4,0,1,4,5
2009,CrossFit,Female,5-Attracted to men exclusively,31,16,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,Yes,No,,1-3 years,Three days a week,About 50%,4,3,-1,2,2,3
2010,CrossFit,Female,5-Attracted to men exclusively,50,16,"White, Caucasian",No,No,Yes,No,No,No,No,No,No,walking   5000+ steps per day is my goal,Less than 1 year,Four days a week,About 50%,8,4,-4,1,1,1
2011,CrossFit,Female,5-Attracted to men exclusively,32,16,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,Yes,No,,1-3 years,Three days a week,About 50%,8,6,-2,1,2,3
2012,CrossFit,Female,5-Attracted to men exclusively,41,14,"White, Caucasian",No,No,Yes,No,Yes,No,No,No,No,Walking on treadmill 3-4 miles 5x week,1-3 years,Three days a week,About 50%,7,3,-4,1,1,4
2013,CrossFit,Female,5-Attracted to men exclusively,44,18,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,Yes,No,,4-6 years,Five days a week,More than 75%,7,4,-3,1,3,4
2014,CrossFit,Female,5-Attracted to men exclusively,27,17,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,Yes,No,,1-3 years,Five days a week,About 50%,5,4,-1,1,3,4
2015,CrossFit,Female,5-Attracted to men exclusively,29,22,Other,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,4-6 years,Four days a week,About 50%,8,4,-4,1,4,5
2016,CrossFit,Female,5-Attracted to men exclusively,26,17,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,No,Yes,,1-3 years,Five days a week,About 50%,3,4,1,3,4,4
2017,CrossFit,Female,5-Attracted to men exclusively,30,12,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,No,No,,4-6 years,Four days a week,About 50%,5,4,-1,2,2,3
2018,CrossFit,Female,4-Attracted to men more than women,58,16,Asian,No,Yes,Yes,No,Yes,Yes,Yes,No,No,,1-3 years,Five days a week,About 75%,5,4,-1,1,3,3
2019,CrossFit,Female,5-Attracted to men exclusively,23,16,"White, Caucasian",No,No,Yes,No,No,Yes,Yes,Yes,Yes,,1-3 years,Six days a week,About 50%,4,4,0,3,3,5
2020,CrossFit,Female,6-Attracted to neither men nor women,34,16,Other,No,Yes,Yes,No,No,No,Yes,Yes,No,,Less than 1 year,Three days a week,About 25%,2,2,0,2,4,4
2021,CrossFit,Female,5-Attracted to men exclusively,31,16,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,No,No,,1-3 years,Five days a week,About 50%,7,6,-1,1,1,5
2022,CrossFit,Female,5-Attracted to men exclusively,32,16,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,No,No,,1-3 years,Five days a week,About 25%,3,5,2,2,2,2
2023,CrossFit,Female,5-Attracted to men exclusively,25,16,"White, Caucasian",No,No,Yes,Yes,Yes,No,Yes,No,No,,4-6 years,Four days a week,About 25%,6,6,0,1,3,3
2024,CrossFit,Female,5-Attracted to men exclusively,66,19,"White, Caucasian",No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Less than 1 year,Two days a week,I do not do CrossFit with other people.,8,7,-1,1,1,1
2025,CrossFit,Female,4-Attracted to men more than women,41,18,"White, Caucasian",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,1-3 years,Two days a week,About 50%,8,7,-1,1,2,4
2026,CrossFit,Female,5-Attracted to men exclusively,55,18,Asian,No,Yes,Yes,No,Yes,Yes,No,No,No,Short track speed skating,7-9 years,Six days a week,About 25%,4,4,0,2,2,3
2027,CrossFit,Female,5-Attracted to men exclusively,30,16,"White, Caucasian",No,No,Yes,No,No,No,Yes,Yes,No,Skiing,1-3 years,Three days a week,About 50%,0,0,0,5,4,3
2028,CrossFit,Female,4-Attracted to men more than women,34,18,"White, Caucasian",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,4-6 years,Three days a week,About 50%,7,5,-2,1,3,3
2029,CrossFit,Female,5-Attracted to men exclusively,35,17,"White, Caucasian",No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,1-3 years,Two days a week,About 50%,6,4,-2,1,3,4
2030,CrossFit,Female,5-Attracted to men exclusively,23,16,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,No,Yes,,1-3 years,Five days a week,About 50%,4,2,-2,2,3,1
2031,CrossFit,Female,4-Attracted to men more than women,25,16,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,,1-3 years,Six days a week,About 50%,6,7,1,2,3,5
2032,CrossFit,Female,5-Attracted to men exclusively,35,18,"American Indian, Aleutian, or Eskimo",No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,4-6 years,Four days a week,About 50%,8,7,-1,1,4,5
2033,CrossFit,Female,5-Attracted to men exclusively,26,16,"White, Caucasian",No,No,Yes,No,No,No,Yes,Yes,No,,1-3 years,Five days a week,About 50%,5,4,-1,1,4,4
2034,CrossFit,Female,4-Attracted to men more than women,37,16,"White, Caucasian",No,Yes,Yes,No,No,Yes,Yes,Yes,No,Dance,1-3 years,Three days a week,About 50%,7,4,-3,1,3,4
2035,CrossFit,Female,5-Attracted to men exclusively,45,18,"White, Caucasian",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,1-3 years,Four days a week,About 50%,6,4,-2,1,2,3
2036,CrossFit,Female,5-Attracted to men exclusively,42,16,"White, Caucasian",No,No,Yes,No,Yes,Yes,No,Yes,No,,4-6 years,Three days a week,I do not do CrossFit with other people.,5,4,-1,1,1,2
2037,CrossFit,Female,5-Attracted to men exclusively,35,16,Asian,No,No,Yes,Yes,No,No,Yes,Yes,No,,4-6 years,Four days a week,About 50%,8,5,-3,1,3,5
2038,CrossFit,Female,4-Attracted to men more than women,34,18,Other,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Aerial - trapeze and silks,4-6 years,Four days a week,About 50%,3,2,-1,2,2,2
2039,CrossFit,Female,4-Attracted to men more than women,47,20,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,No,No,,10 or more years,Five days a week,I do not do CrossFit with other people.,6,5,-1,1,3,3
2040,CrossFit,Female,5-Attracted to men exclusively,53,16,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,Yes,No,,1-3 years,Five days a week,About 50%,5,4,-1,2,3,3
2041,CrossFit,Female,5-Attracted to men exclusively,26,18,Asian,No,Yes,Yes,No,No,No,No,Yes,No,"Skating, Snowboarding",Less than 1 year,Four days a week,About 50%,2,3,1,1,1,1
2042,CrossFit,Female,5-Attracted to men exclusively,26,16,"White, Caucasian",No,Yes,Yes,No,No,Yes,Yes,No,No,,1-3 years,Five days a week,Less than 25%,7,6,-1,1,3,4
2043,CrossFit,Female,5-Attracted to men exclusively,35,16,"Black, African American",No,Yes,Yes,No,Yes,No,Yes,No,Yes,Dance,Less than 1 year,Two days a week,About 50%,8,5,-3,1,1,3
2044,CrossFit,Female,5-Attracted to men exclusively,25,19,"White, Caucasian",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,1-3 years,Six days a week,About 50%,6,5,-1,1,4,4
2045,CrossFit,Female,2-Attracted to women more than men,30,18,Asian,No,No,Yes,No,No,No,Yes,No,No,,Less than 1 year,Four days a week,About 75%,6,3,-3,1,2,3
2046,CrossFit,Female,5-Attracted to men exclusively,32,16,"White, Caucasian",No,No,Yes,No,Yes,Yes,Yes,Yes,No,,1-3 years,Five days a week,About 50%,4,4,0,1,4,5
2047,CrossFit,Female,5-Attracted to men exclusively,25,18,"White, Caucasian",No,Yes,Yes,No,No,No,Yes,No,Yes,,Less than 1 year,Two days a week,About 50%,3,2,-1,3,3,1
2048,CrossFit,Female,5-Attracted to men exclusively,31,22,"White, Caucasian",No,Yes,Yes,No,Yes,Yes,No,No,No,,Less than 1 year,Three days a week,About 75%,7,5,-2,1,2,3
2049,CrossFit,Female,2-Attracted to women more than men,36,20,"White, Caucasian",No,No,Yes,No,No,Yes,Yes,No,No,,1-3 years,Four days a week,About 25%,8,3,-5,1,1,5
2050,CrossFit,Female,4-Attracted to men more than women,31,18,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,No,No,,1-3 years,Five days a week,About 50%,5,4,-1,1,2,4
2051,CrossFit,Female,4-Attracted to men more than women,27,15,"White, Caucasian",No,Yes,Yes,No,Yes,No,Yes,Yes,No,,Less than 1 year,Two days a week,About 75%,4,3,-1,1,2,4
