subj,EIS1,EIS2,EIS2,EIS4,EIS5,EIS6,EIS7,EIS8,EIS9,EIS10,EIS11,EIS12,EIS13,EIS14,EIS15,EIS16,EIS17
3000,Very true of me,Very true of me,Very true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Neither true nor untrue of me,Very true of me,Somewhat true of me,Very true of me,Somewhat true of me,Neither true nor untrue of me,Somewhat true of me,Neither true nor untrue of me,Neither true nor untrue of me,Very true of me
3001,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,A little true of me,Neither true nor untrue of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me
3002,Somewhat true of me,Somewhat true of me,A little true of me,Very true of me,Somewhat true of me,Very true of me,Not at all true of me,A little true of me,Very true of me,Somewhat true of me,Somewhat true of me,A little true of me,A little true of me,A little true of me,A little true of me,A little true of me,Somewhat true of me
3003,Somewhat true of me,Very true of me,Somewhat true of me,Somewhat true of me,Neither true nor untrue of me,Somewhat true of me,Neither true nor untrue of me,Somewhat true of me,Somewhat true of me,Very true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me
3004,A little true of me,A little true of me,Not at all true of me,A little true of me,Somewhat true of me,A little true of me,Not at all true of me,Somewhat true of me,A little true of me,A little true of me,A little true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me
3005,Very true of me,Very true of me,Somewhat true of me,Very true of me,Neither true nor untrue of me,Somewhat true of me,A little true of me,Neither true nor untrue of me,Neither true nor untrue of me,Somewhat true of me,A little true of me,Somewhat true of me,Neither true nor untrue of me,Very true of me,Neither true nor untrue of me,Somewhat true of me,Very true of me
3006,Neither true nor untrue of me,Very true of me,Neither true nor untrue of me,Neither true nor untrue of me,Neither true nor untrue of me,Somewhat true of me,Neither true nor untrue of me,Somewhat true of me,Neither true nor untrue of me,Somewhat true of me,Neither true nor untrue of me,Neither true nor untrue of me,Neither true nor untrue of me,Somewhat true of me,Neither true nor untrue of me,Somewhat true of me,Somewhat true of me
3007,Somewhat true of me,Very true of me,Neither true nor untrue of me,Very true of me,Neither true nor untrue of me,Somewhat true of me,A little true of me,A little true of me,Neither true nor untrue of me,Neither true nor untrue of me,Somewhat true of me,Somewhat true of me,A little true of me,Neither true nor untrue of me,A little true of me,Neither true nor untrue of me,Somewhat true of me
3008,Somewhat true of me,Very true of me,Somewhat true of me,Neither true nor untrue of me,Neither true nor untrue of me,Very true of me,A little true of me,A little true of me,Somewhat true of me,Somewhat true of me,Neither true nor untrue of me,A little true of me,A little true of me,Somewhat true of me,Neither true nor untrue of me,A little true of me,Somewhat true of me
3009,Very true of me,Very true of me,Somewhat true of me,Very true of me,Neither true nor untrue of me,Somewhat true of me,Neither true nor untrue of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Neither true nor untrue of me,Neither true nor untrue of me,A little true of me,Somewhat true of me,Neither true nor untrue of me,Neither true nor untrue of me,Somewhat true of me
3010,Somewhat true of me,Very true of me,Very true of me,Very true of me,Neither true nor untrue of me,Very true of me,Neither true nor untrue of me,Very true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Very true of me,Neither true nor untrue of me,Neither true nor untrue of me,Neither true nor untrue of me,Very true of me,Somewhat true of me
3011,A little true of me,Very true of me,A little true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Neither true nor untrue of me,Very true of me,Somewhat true of me,Somewhat true of me,Neither true nor untrue of me,Very true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me,Very true of me,Neither true nor untrue of me
3012,Very true of me,Very true of me,Somewhat true of me,Very true of me,Somewhat true of me,Very true of me,A little true of me,Somewhat true of me,Somewhat true of me,Very true of me,Neither true nor untrue of me,Somewhat true of me,Somewhat true of me,Very true of me,Somewhat true of me,Somewhat true of me,Somewhat true of me
3013,A little true of me,Somewhat true of me,A little true of me,Very true of me,Neither true nor untrue of me,Somewhat true of me,A little true of me,A little true of me,Neither true nor untrue of me,Somewhat true of me,A little true of me,A little true of me,Neither true nor untrue of me,Somewhat true of me,Neither true nor untrue of me,Neither true nor untrue of me,Somewhat true of me
